Chromosome	Position	Depth
chr1	10115	190
chr1	10116	191
chr1	10117	191
chr1	10118	191
chr1	10119	191
chr1	10120	191
chr1	10121	190
chr1	10122	189
chr1	10123	189
chr1	10124	190
chr1	10125	190
chr1	10126	190
chr1	10127	189
chr1	10128	189
chr1	10129	188
chr1	10130	185
chr1	10131	186
chr1	10132	188
chr1	10133	185
chr1	10134	188
chr1	10135	188
chr1	10136	187
chr1	10137	184
chr1	10138	182
chr1	10139	183
chr1	10140	186
chr1	10141	186
chr1	10142	188
chr1	10143	187
chr1	10144	187
chr1	10145	185
chr1	10146	186
chr1	10147	80
chr1	10148	186
chr1	10149	193
chr1	10150	197
chr1	10151	199
chr1	10152	210
chr1	10153	211
chr1	10154	217
chr1	10155	221
chr1	10156	225
chr1	10157	228
chr1	10158	232
chr1	10159	235
chr1	10160	242
chr1	10161	244
chr1	10162	250
chr1	10163	260
chr1	10164	264
chr1	10165	274
chr1	10166	276
chr1	10167	277
chr1	10168	283
chr1	10169	288
chr1	10170	294
chr1	10171	298
chr1	10172	299
chr1	10173	302
chr1	10174	302
chr1	10175	307
chr1	10176	306
chr1	10177	319
chr1	10178	328
chr1	10179	328
chr1	10180	328
chr1	10181	331
chr1	10182	328
chr1	10183	327
chr1	10184	322
chr1	10185	317
chr1	10186	311
chr1	10187	310
chr1	10188	309
chr1	10189	311
chr1	10190	306
chr1	10191	301
chr1	10192	300
chr1	10193	295
chr1	10194	289
chr1	10195	280
chr1	10196	275
chr1	10197	269
chr1	10198	259
chr1	10199	253
chr1	10200	249
chr1	10201	244
chr1	10202	241
chr1	10203	238
chr1	10204	233
chr1	10205	229
chr1	10206	228
chr1	10207	226
chr1	10208	228
chr1	10209	229
chr1	10210	228
chr1	10211	228
chr1	10212	228
chr1	10213	229
chr1	10214	228
chr1	10215	228
chr1	10216	228
chr1	10217	231
chr1	10218	235
chr1	10219	232
chr1	10220	233
chr1	10221	233
chr1	10222	232
chr1	10223	233
chr1	10224	234
chr1	10225	235
chr1	10226	235
chr1	10227	235
chr1	10228	234
chr1	10229	233
chr1	10230	234
chr1	10231	145
chr1	10232	234
chr1	10233	238
chr1	10234	236
chr1	10235	236
chr1	10236	246
chr1	10237	251
chr1	10238	252
chr1	10239	256
chr1	10240	258
chr1	10241	261
chr1	10242	259
chr1	10243	258
chr1	10244	258
chr1	10245	263
chr1	10246	262
chr1	10247	260
chr1	10248	254
chr1	10249	256
chr1	10250	227
chr1	10251	221
chr1	10252	240
chr1	10253	240
chr1	10254	232
chr1	10255	226
chr1	10256	222
chr1	10257	219
chr1	10258	215
chr1	10259	214
chr1	10260	210
chr1	10261	210
chr1	10262	205
chr1	10263	194
chr1	10264	186
chr1	10265	176
chr1	10266	168
chr1	10267	166
chr1	10268	161
chr1	10269	157
chr1	10270	150
chr1	10271	142
chr1	10272	139
chr1	10273	131
chr1	10274	129
chr1	10275	129
chr1	10276	124
chr1	10277	114
chr1	10278	102
chr1	10279	97
chr1	10280	95
chr1	10281	95
chr1	10282	93
chr1	10283	93
chr1	10284	94
chr1	10285	93
chr1	10286	92
chr1	10287	91
chr1	10288	93
chr1	10289	93
chr1	10290	92
chr1	10291	94
chr1	10292	94
chr1	10293	94
chr1	10294	91
chr1	10295	90
chr1	10296	93
chr1	10297	94
chr1	10298	97
chr1	10299	97
chr1	10300	97
chr1	10301	96
chr1	10302	96
chr1	10303	95
chr1	10304	94
chr1	10305	95
chr1	10306	94
chr1	10307	94
chr1	10308	93
chr1	10309	93
chr1	10310	94
chr1	10311	95
chr1	10312	92
chr1	10313	95
chr1	10314	95
chr1	10315	99
chr1	10316	100
chr1	10317	97
chr1	10318	96
chr1	10319	96
chr1	10320	95
chr1	10321	93
chr1	10322	94
chr1	10323	95
chr1	10324	95
chr1	10325	95
chr1	10326	97
chr1	10327	98
chr1	10328	96
chr1	10329	96
chr1	10330	91
chr1	10331	100
chr1	10332	99
chr1	10333	98
chr1	10334	94
chr1	10335	95
chr1	10336	95
chr1	10337	94
chr1	10338	93
chr1	10339	93
chr1	10340	92
chr1	10341	88
chr1	10342	90
chr1	10343	90
chr1	10344	90
chr1	10345	89
chr1	10346	89
chr1	10347	91
chr1	10348	88
chr1	10349	87
chr1	10350	84
chr1	10351	85
chr1	10352	84
chr1	10353	86
chr1	10354	89
chr1	10355	91
chr1	10356	96
chr1	10357	98
chr1	10358	100
chr1	10359	105
chr1	10360	110
chr1	10361	115
chr1	10362	119
chr1	10363	128
chr1	10364	134
chr1	10365	140
chr1	10366	143
chr1	10367	143
chr1	10368	145
chr1	10369	146
chr1	10370	148
chr1	10371	150
chr1	10372	152
chr1	10373	152
chr1	10374	153
chr1	10375	154
chr1	10376	150
chr1	10377	153
chr1	10378	153
chr1	10379	155
chr1	10380	156
chr1	10381	161
chr1	10382	162
chr1	10383	161
chr1	10384	164
chr1	10385	164
chr1	10386	164
chr1	10387	162
chr1	10388	159
chr1	10389	160
chr1	10390	118
chr1	10391	161
chr1	10392	163
chr1	10393	145
chr1	10394	142
chr1	10395	158
chr1	10396	161
chr1	10397	118
chr1	10398	162
chr1	10399	163
chr1	10400	164
chr1	10401	163
chr1	10402	162
chr1	10403	163
chr1	10404	162
chr1	10405	162
chr1	10406	161
chr1	10407	161
chr1	10408	162
chr1	10409	164
chr1	10410	163
chr1	10411	165
chr1	10412	163
chr1	10413	163
chr1	10414	154
chr1	10415	163
chr1	10416	162
chr1	10417	162
chr1	10418	163
chr1	10419	162
chr1	10420	162
chr1	10421	168
chr1	10422	169
chr1	10423	169
chr1	10424	168
chr1	10425	168
chr1	10426	168
chr1	10427	169
chr1	10428	169
chr1	10429	168
chr1	10430	167
chr1	10431	164
chr1	10432	163
chr1	10433	162
chr1	10434	161
chr1	10435	162
chr1	10436	167
chr1	10437	165
chr1	10438	163
chr1	10439	166
chr1	10440	104
chr1	10441	164
chr1	10442	167
chr1	10443	167
chr1	10444	167
chr1	10445	169
chr1	10446	168
chr1	10447	166
chr1	10448	168
chr1	10449	168
chr1	10450	171
chr1	10451	170
chr1	10452	169
chr1	10453	170
chr1	10454	169
chr1	10455	161
chr1	10456	157
chr1	10457	156
chr1	10458	154
chr1	10459	153
chr1	10460	150
chr1	10461	146
chr1	10462	147
chr1	10463	147
chr1	10464	144
chr1	10465	141
chr1	10466	136
chr1	10467	133
chr1	10468	128
chr1	10469	125
chr1	10470	124
chr1	10471	123
chr1	10472	120
chr1	10473	121
chr1	10474	121
chr1	10475	120
chr1	10476	120
chr1	10477	118
chr1	10478	119
chr1	10479	117
chr1	10480	116
chr1	10481	115
chr1	10482	115
chr1	10483	118
chr1	10484	119
chr1	10485	118
chr1	10486	118
chr1	10487	119
chr1	10488	119
chr1	10489	120
chr1	10490	117
chr1	10491	118
chr1	10492	119
chr1	10493	120
chr1	10494	118
chr1	10495	118
chr1	10496	119
chr1	10497	119
chr1	10498	119
chr1	10499	121
chr1	10500	120
chr1	10501	121
chr1	10502	121
chr1	10503	121
chr1	10504	123
chr1	10505	124
chr1	10506	123
chr1	10507	125
chr1	10508	125
chr1	10509	124
chr1	10510	125
chr1	10511	125
chr1	10512	125
chr1	10513	124
chr1	10514	125
chr1	10515	123
chr1	10516	125
chr1	10517	126
chr1	10518	128
chr1	10519	132
chr1	10520	133
chr1	10521	133
chr1	10522	131
chr1	10523	130
chr1	10524	136
chr1	10525	136
chr1	10526	136
chr1	10527	136
chr1	10528	134
chr1	10529	133
chr1	10530	132
chr1	10531	131
chr1	10532	130
chr1	10533	128
chr1	10534	127
chr1	10535	125
chr1	10536	118
chr1	10537	117
chr1	10538	114
chr1	10539	112
chr1	10540	112
chr1	10541	110
chr1	10542	106
chr1	10543	102
chr1	10544	101
chr1	10545	101
chr1	10546	101
chr1	10547	101
chr1	10548	99
chr1	10549	99
chr1	10550	96
chr1	10551	95
chr1	10552	95
chr1	10553	94
chr1	10554	94
chr1	10555	94
chr1	10556	94
chr1	10557	92
chr1	10558	91
chr1	10559	88
chr1	10560	87
chr1	10561	87
chr1	10562	85
chr1	10563	84
chr1	10564	79
chr1	10565	78
chr1	10566	77
chr1	10567	76
chr1	10568	75
chr1	10569	75
chr1	10570	74
chr1	10571	73
chr1	10572	74
chr1	10573	72
chr1	10574	72
chr1	10575	71
chr1	10576	71
chr1	10577	70
chr1	10578	67
chr1	10579	66
chr1	10580	66
chr1	10581	65
chr1	10582	64
chr1	10583	61
chr1	10584	58
chr1	10585	57
chr1	10586	56
chr1	10587	55
chr1	10588	55
chr1	10589	54
chr1	10590	53
chr1	10591	52
chr1	10592	51
chr1	10593	50
chr1	10594	50
chr1	10595	49
chr1	10596	47
chr1	10597	46
chr1	10598	45
chr1	10599	42
chr1	10600	42
chr1	10601	41
chr1	10602	40
chr1	10603	39
chr1	10604	37
chr1	10605	36
chr1	10606	36
chr1	10607	34
chr1	10608	34
chr1	10609	33
chr1	10610	32
chr1	10611	30
chr1	10612	30
chr1	10613	29
chr1	10614	26
chr1	10615	26
chr1	10616	23
chr1	10617	22
chr1	10618	18
chr1	10619	13
chr1	10620	11
chr1	10621	8
chr1	10622	8
chr1	10623	9
chr1	10624	3
chr1	10625	3
chr1	10626	1
chr1	10627	0
chr1	10628	0
chr1	10629	0
chr1	10630	0
chr1	10631	0
chr1	10632	0
chr1	10633	0
chr1	10634	0
chr1	10635	0
chr1	10636	0
chr1	10637	0
chr1	10638	1
chr1	10639	1
chr1	10640	1
chr1	10641	1
chr1	10642	1
chr1	10643	1
chr1	10644	1
chr1	10645	1
chr1	10646	1
chr1	10647	1
chr1	10648	1
chr1	10649	1
chr1	10650	1
chr1	10651	1
chr1	10652	1
chr1	10653	1
chr1	10654	1
chr1	10655	1
chr1	10656	1
chr1	10657	1
chr1	10658	1
chr1	10659	1
chr1	10660	1
chr1	10661	1
chr1	10662	1
chr1	10663	1
chr1	10664	1
chr1	10665	1
chr1	10666	1
chr1	10667	1
chr1	10668	1
chr1	10669	1
chr1	10670	1
chr1	10671	1
chr1	10672	1
chr1	10673	1
chr1	10674	1
chr1	10675	1
chr1	10676	1
chr1	10677	1
chr1	10678	1
chr1	10679	1
chr1	10680	1
chr1	10681	1
chr1	10682	1
chr1	10683	1
chr1	10684	1
chr1	10685	1
chr1	10686	1
chr1	10687	1
chr1	10688	1
chr1	10689	2
chr1	10690	2
chr1	10691	2
chr1	10692	2
chr1	10693	1
chr1	10694	1
chr1	10695	1
chr1	10696	1
chr1	10697	1
chr1	10698	1
chr1	10699	1
chr1	10700	1
chr1	10701	1
chr1	10702	1
chr1	10703	1
chr1	10704	1
chr1	10705	1
chr1	10706	1
chr1	10707	1
chr1	10708	1
chr1	10709	1
chr1	10710	1
chr1	10711	1
chr1	10712	1
chr1	10713	1
chr1	10714	1
chr1	10715	1
chr1	10716	1
chr1	10717	1
chr1	10718	1
chr1	10719	1
chr1	10720	1
chr1	10721	1
chr1	10722	1
chr1	10723	1
chr1	10724	1
chr1	10725	1
chr1	10726	1
chr1	10727	1
chr1	10728	1
chr1	10729	1
chr1	10730	1
chr1	10731	1
chr1	10732	1
chr1	10733	1
chr1	10734	1
chr1	10735	1
chr1	10736	1
chr1	10737	1
chr1	10738	1
chr1	10739	1
chr1	10740	1
chr1	10741	1
chr1	10742	1
chr1	10743	1
chr1	10744	1
chr1	10745	1
chr1	10746	1
chr1	10747	1
chr1	10748	1
chr1	10749	1
chr1	10750	1
chr1	10751	1
chr1	10752	1
chr1	10753	1
chr1	10754	1
chr1	10755	1
chr1	10756	1
chr1	10757	1
chr1	10758	1
chr1	10759	1
chr1	10760	1
chr1	10761	1
chr1	10762	1
chr1	10763	1
chr1	10764	1
chr1	10765	1
chr1	10766	1
chr1	10767	1
chr1	10768	1
chr1	10769	1
chr1	10770	1
chr1	10771	1
chr1	10772	1
chr1	10773	1
chr1	10774	1
chr1	10775	1
chr1	10776	1
chr1	10777	1
chr1	10778	1
chr1	10779	1
chr1	10780	1
chr1	10781	1
chr1	10782	1
chr1	10783	1
chr1	10784	1
chr1	10785	1
chr1	10786	1
chr1	10787	1
chr1	12744	2
chr1	12745	2
chr1	12746	2
chr1	12747	2
chr1	12748	2
chr1	12749	2
chr1	12750	2
chr1	12751	3
chr1	12752	3
chr1	12753	3
chr1	12754	3
chr1	12755	4
chr1	12756	4
chr1	12757	4
chr1	12758	4
chr1	12759	4
chr1	12760	5
chr1	12761	7
chr1	12762	10
chr1	12763	10
chr1	12764	10
chr1	12765	11
chr1	12766	11
chr1	12767	12
chr1	12768	15
chr1	12769	16
chr1	12770	16
chr1	12771	17
chr1	12772	18
chr1	12773	21
chr1	12774	22
chr1	12775	23
chr1	12776	24
chr1	12777	24
chr1	12778	24
chr1	12779	25
chr1	12780	27
chr1	12781	29
chr1	12782	34
chr1	12783	34
chr1	12784	37
chr1	12785	40
chr1	12786	41
chr1	12787	41
chr1	12788	41
chr1	12789	41
chr1	12790	44
chr1	12791	47
chr1	12792	48
chr1	12793	53
chr1	12794	55
chr1	12795	58
chr1	12796	62
chr1	12797	62
chr1	12798	63
chr1	12799	63
chr1	12800	66
chr1	12801	66
chr1	12802	66
chr1	12803	68
chr1	12804	71
chr1	12805	74
chr1	12806	75
chr1	12807	77
chr1	12808	84
chr1	12809	86
chr1	12810	89
chr1	12811	89
chr1	12812	89
chr1	12813	91
chr1	12814	93
chr1	12815	94
chr1	12816	96
chr1	12817	98
chr1	12818	100
chr1	12819	101
chr1	12820	102
chr1	12821	105
chr1	12822	106
chr1	12823	106
chr1	12824	107
chr1	12825	110
chr1	12826	112
chr1	12827	114
chr1	12828	115
chr1	12829	116
chr1	12830	120
chr1	12831	122
chr1	12832	122
chr1	12833	122
chr1	12834	123
chr1	12835	125
chr1	12836	126
chr1	12837	130
chr1	12838	131
chr1	12839	132
chr1	12840	133
chr1	12841	135
chr1	12842	135
chr1	12843	135
chr1	12844	134
chr1	12845	135
chr1	12846	136
chr1	12847	138
chr1	12848	140
chr1	12849	140
chr1	12850	140
chr1	12851	139
chr1	12852	141
chr1	12853	141
chr1	12854	141
chr1	12855	140
chr1	12856	141
chr1	12857	144
chr1	12858	146
chr1	12859	149
chr1	12860	149
chr1	12861	148
chr1	12862	147
chr1	12863	148
chr1	12864	148
chr1	12865	147
chr1	12866	148
chr1	12867	147
chr1	12868	147
chr1	12869	148
chr1	12870	148
chr1	12871	149
chr1	12872	148
chr1	12873	146
chr1	12874	146
chr1	12875	145
chr1	12876	144
chr1	12877	144
chr1	12878	144
chr1	12879	144
chr1	12880	144
chr1	12881	143
chr1	12882	139
chr1	12883	140
chr1	12884	137
chr1	12885	134
chr1	12886	133
chr1	12887	133
chr1	12888	137
chr1	12889	137
chr1	12890	134
chr1	12891	131
chr1	12892	130
chr1	12893	125
chr1	12894	123
chr1	12895	121
chr1	12896	117
chr1	12897	117
chr1	12898	116
chr1	12899	116
chr1	12900	113
chr1	12901	113
chr1	12902	113
chr1	12903	111
chr1	12904	108
chr1	12905	105
chr1	12906	104
chr1	12907	102
chr1	12908	95
chr1	12909	93
chr1	12910	90
chr1	12911	90
chr1	12912	90
chr1	12913	88
chr1	12914	86
chr1	12915	85
chr1	12916	83
chr1	12917	81
chr1	12918	79
chr1	12919	78
chr1	12920	77
chr1	12921	74
chr1	12922	73
chr1	12923	73
chr1	12924	72
chr1	12925	69
chr1	12926	67
chr1	12927	65
chr1	12928	64
chr1	12929	63
chr1	12930	59
chr1	12931	57
chr1	12932	57
chr1	12933	57
chr1	12934	56
chr1	12935	54
chr1	12936	53
chr1	12937	49
chr1	12938	48
chr1	12939	47
chr1	12940	46
chr1	12941	44
chr1	12942	44
chr1	12943	44
chr1	12944	43
chr1	12945	42
chr1	12946	41
chr1	12947	39
chr1	12948	37
chr1	12949	37
chr1	12950	37
chr1	12951	37
