Chromosome	Position	Depth
chr1	10391	181
chr1	10392	181
chr1	10393	169
chr1	10394	167
chr1	10395	174
chr1	10396	177
chr1	10397	121
chr1	10398	187
chr1	10399	186
chr1	10400	185
chr1	10401	182
chr1	10402	184
chr1	10403	185
chr1	10404	185
chr1	10405	183
chr1	10406	181
chr1	10407	178
chr1	10408	173
chr1	10409	177
chr1	10410	175
chr1	10411	176
chr1	10412	175
chr1	10413	177
chr1	10414	171
chr1	10415	174
chr1	10416	172
chr1	10417	173
chr1	10418	172
chr1	10419	172
chr1	10420	172
chr1	10421	171
chr1	10422	172
chr1	10423	173
chr1	10424	174
chr1	10425	174
chr1	10426	176
chr1	10427	175
chr1	10428	174
chr1	10429	174
chr1	10430	173
chr1	10431	173
chr1	10432	173
chr1	10433	172
chr1	10434	172
chr1	10435	168
chr1	10436	166
chr1	10437	165
chr1	10438	167
chr1	10439	164
chr1	10440	95
chr1	10441	164
chr1	10442	163
chr1	10443	162
chr1	10444	161
chr1	10445	161
chr1	10446	162
chr1	10447	165
chr1	10448	165
chr1	10449	162
chr1	10450	162
chr1	10451	162
chr1	10452	163
chr1	10453	160
chr1	10454	159
chr1	10455	159
chr1	10456	156
chr1	10457	150
chr1	10458	145
chr1	10459	143
chr1	10460	140
chr1	10461	135
chr1	10462	134
chr1	10463	135
chr1	10464	128
chr1	10465	117
chr1	10466	117
chr1	10467	107
chr1	10468	102
chr1	10469	97
chr1	10470	98
chr1	10471	98
chr1	10472	98
chr1	10473	96
chr1	10474	96
chr1	10475	97
chr1	10476	95
chr1	10477	95
chr1	10478	96
chr1	10479	96
chr1	10480	95
chr1	10481	94
chr1	10482	91
chr1	10483	94
chr1	10484	94
chr1	10485	91
chr1	10486	91
chr1	10487	93
chr1	10488	92
chr1	10489	93
chr1	10490	96
chr1	10491	94
chr1	10492	93
chr1	10493	94
chr1	10494	93
chr1	10495	95
chr1	10496	95
chr1	10497	95
chr1	10498	91
chr1	10499	91
chr1	10500	92
chr1	10501	94
chr1	10502	94
chr1	10503	94
chr1	10504	94
chr1	10505	94
chr1	10506	94
chr1	10507	95
chr1	10508	96
chr1	10509	94
chr1	10510	96
chr1	10511	97
chr1	10512	99
chr1	10513	97
chr1	10514	96
chr1	10515	97
chr1	10516	97
chr1	10517	98
chr1	10518	101
chr1	10519	102
chr1	10520	105
chr1	10521	107
chr1	10522	107
chr1	10523	106
chr1	10524	108
chr1	10525	109
chr1	10526	108
chr1	10527	108
chr1	10528	108
chr1	10529	107
chr1	10530	107
chr1	10531	106
chr1	10532	106
chr1	10533	106
chr1	10534	104
chr1	10535	104
chr1	10536	103
chr1	10537	102
chr1	10538	101
chr1	10539	100
chr1	10540	100
chr1	10541	99
chr1	10542	97
chr1	10543	97
chr1	10544	97
chr1	10545	97
chr1	10546	95
chr1	10547	92
chr1	10548	92
chr1	10549	93
chr1	10550	93
chr1	10551	93
chr1	10552	91
chr1	10553	91
chr1	10554	87
chr1	10555	85
chr1	10556	85
chr1	10557	85
chr1	10558	84
chr1	10559	84
chr1	10560	83
chr1	10561	82
chr1	10562	80
chr1	10563	77
chr1	10564	77
chr1	10565	77
chr1	10566	72
chr1	10567	72
chr1	10568	72
chr1	10569	71
chr1	10570	69
chr1	10571	68
chr1	10572	67
chr1	10573	67
chr1	10574	67
chr1	10575	66
chr1	10576	66
chr1	10577	66
chr1	10578	65
chr1	10579	65
chr1	10580	62
chr1	10581	61
chr1	10582	61
chr1	10583	58
chr1	10584	57
chr1	10585	57
chr1	10586	56
chr1	10587	54
chr1	10588	53
chr1	10589	52
chr1	10590	48
chr1	10591	47
chr1	10592	47
chr1	10593	46
chr1	10594	45
chr1	10595	42
chr1	10596	40
chr1	10597	40
chr1	10598	40
chr1	10599	40
chr1	10600	39
chr1	10601	37
chr1	10602	36
chr1	10603	36
chr1	10604	35
chr1	10605	34
chr1	10606	34
chr1	10607	33
chr1	10608	32
chr1	10609	31
chr1	10610	29
chr1	10611	27
chr1	10612	25
chr1	10613	25
chr1	10614	25
chr1	10615	23
chr1	10616	23
chr1	10617	20
chr1	10618	16
chr1	10619	15
chr1	10620	12
chr1	10621	10
chr1	10622	9
chr1	10623	8
chr1	10624	5
chr1	10625	4
chr1	10626	3
chr1	10627	1
chr1	10628	1
chr1	10629	1
chr1	10630	1
chr1	10631	1
chr1	10632	1
chr1	10633	1
chr1	10634	1
chr1	10635	1
chr1	10636	1
chr1	10637	1
chr1	10638	2
chr1	10639	2
chr1	10640	2
chr1	10641	2
chr1	10642	2
chr1	10643	2
chr1	10644	2
chr1	10645	2
chr1	10646	2
chr1	10647	2
chr1	10648	2
chr1	10649	1
chr1	10650	1
chr1	10651	1
chr1	10652	1
chr1	10653	1
chr1	10654	1
chr1	10655	1
chr1	10656	1
chr1	10657	1
chr1	10658	1
chr1	10659	1
chr1	10660	1
chr1	10661	1
chr1	10662	1
chr1	10663	1
chr1	10664	1
chr1	10665	1
chr1	10666	1
chr1	10667	1
chr1	10668	1
chr1	10669	1
chr1	10670	1
chr1	10671	1
chr1	12731	1
chr1	12732	2
chr1	12733	2
chr1	12734	3
chr1	12735	3
chr1	12736	3
chr1	12737	4
chr1	12738	4
chr1	12739	5
chr1	12740	5
chr1	12741	6
chr1	12742	7
chr1	12743	9
chr1	12744	9
chr1	12745	10
chr1	12746	10
chr1	12747	10
chr1	12748	12
chr1	12749	13
chr1	12750	13
chr1	12751	15
chr1	12752	16
chr1	12753	16
chr1	12754	16
chr1	12755	19
chr1	12756	20
chr1	12757	21
chr1	12758	24
chr1	12759	24
chr1	12760	24
chr1	12761	26
chr1	12762	28
chr1	12763	29
chr1	12764	30
chr1	12765	30
chr1	12766	31
chr1	12767	31
chr1	12768	33
chr1	12769	34
chr1	12770	35
chr1	12771	36
chr1	12772	37
chr1	12773	39
chr1	12774	43
chr1	12775	46
chr1	12776	49
chr1	12777	51
chr1	12778	55
chr1	12779	58
chr1	12780	61
chr1	12781	64
chr1	12782	65
chr1	12783	68
chr1	12784	74
chr1	12785	75
chr1	12786	75
chr1	12787	79
chr1	12788	80
chr1	12789	84
chr1	12790	86
chr1	12791	89
chr1	12792	93
chr1	12793	94
chr1	12794	94
chr1	12795	96
chr1	12796	96
chr1	12797	99
chr1	12798	102
chr1	12799	104
chr1	12800	106
chr1	12801	108
chr1	12802	111
chr1	12803	111
chr1	12804	114
chr1	12805	118
chr1	12806	119
chr1	12807	120
chr1	12808	127
chr1	12809	133
chr1	12810	134
chr1	12811	134
chr1	12812	134
chr1	12813	137
chr1	12814	137
chr1	12815	138
chr1	12816	141
chr1	12817	143
chr1	12818	147
chr1	12819	148
chr1	12820	149
chr1	12821	151
chr1	12822	151
chr1	12823	153
chr1	12824	153
chr1	12825	153
chr1	12826	153
chr1	12827	153
chr1	12828	154
chr1	12829	155
chr1	12830	157
chr1	12831	156
chr1	12832	157
chr1	12833	157
chr1	12834	157
chr1	12835	158
chr1	12836	160
chr1	12837	161
chr1	12838	163
chr1	12839	163
chr1	12840	163
chr1	12841	162
chr1	12842	162
chr1	12843	162
chr1	12844	163
chr1	12845	163
chr1	12846	164
chr1	12847	164
chr1	12848	162
chr1	12849	162
chr1	12850	163
chr1	12851	163
chr1	12852	164
chr1	12853	164
chr1	12854	165
chr1	12855	162
chr1	12856	162
chr1	12857	162
chr1	12858	160
chr1	12859	161
chr1	12860	161
chr1	12861	159
chr1	12862	159
chr1	12863	160
chr1	12864	159
chr1	12865	161
chr1	12866	163
chr1	12867	165
chr1	12868	165
chr1	12869	166
chr1	12870	165
chr1	12871	164
chr1	12872	163
chr1	12873	162
chr1	12874	159
chr1	12875	156
chr1	12876	153
chr1	12877	153
chr1	12878	149
chr1	12879	146
chr1	12880	144
chr1	12881	142
chr1	12882	141
chr1	12883	138
chr1	12884	132
chr1	12885	131
chr1	12886	132
chr1	12887	129
chr1	12888	129
chr1	12889	125
chr1	12890	123
chr1	12891	120
chr1	12892	116
chr1	12893	115
chr1	12894	115
chr1	12895	113
chr1	12896	113
chr1	12897	110
chr1	12898	107
chr1	12899	105
chr1	12900	103
chr1	12901	101
chr1	12902	98
chr1	12903	98
chr1	12904	95
chr1	12905	91
chr1	12906	90
chr1	12907	89
chr1	12908	82
chr1	12909	76
chr1	12910	75
chr1	12911	75
chr1	12912	75
chr1	12913	72
chr1	12914	72
chr1	12915	71
chr1	12916	68
chr1	12917	66
chr1	12918	62
chr1	12919	61
chr1	12920	60
chr1	12921	58
chr1	12922	58
chr1	12923	56
chr1	12924	56
chr1	12925	56
chr1	12926	56
chr1	12927	56
chr1	12928	55
chr1	12929	54
chr1	12930	52
chr1	12931	52
chr1	12932	50
chr1	12933	50
chr1	12934	49
chr1	12935	48
chr1	12936	46
chr1	12937	44
chr1	12938	42
chr1	12939	41
chr1	12940	41
chr1	12941	41
chr1	12942	40
chr1	12943	38
chr1	12944	37
chr1	12945	36
chr1	12946	35
chr1	12947	35
chr1	12948	35
chr1	12949	34
chr1	12950	33
chr1	12951	31
chr1	12952	29
chr1	12953	29
chr1	12954	28
chr1	12955	28
chr1	12956	27
chr1	12957	26
chr1	12958	25
chr1	12959	24
chr1	12960	24
chr1	12961	24
chr1	12962	22
chr1	12963	20
chr1	12964	20
chr1	12965	18
chr1	12966	15
chr1	12967	13
chr1	12968	11
chr1	12969	9
chr1	12970	9
chr1	12971	9
chr1	12972	9
chr1	12973	10
chr1	12974	12
chr1	12975	17
chr1	12976	22
chr1	12977	25
chr1	12978	28
chr1	12979	31
chr1	12980	42
chr1	12981	43
chr1	12982	53
chr1	12983	60
chr1	12984	69
chr1	12985	76
chr1	12986	84
chr1	12987	89
chr1	12988	97
chr1	12989	103
chr1	12990	107
chr1	12991	113
chr1	12992	118
chr1	12993	127
chr1	12994	133
chr1	12995	141
chr1	12996	144
chr1	12997	151
chr1	12998	160
chr1	12999	167
chr1	13000	178
chr1	13001	185
chr1	13002	190
chr1	13003	200
chr1	13004	205
chr1	13005	211
chr1	13006	217
chr1	13007	223
chr1	13008	231
chr1	13009	236
chr1	13010	241
chr1	13011	247
chr1	13012	253
chr1	13013	263
chr1	13014	271
chr1	13015	281
chr1	13016	287
chr1	13017	296
chr1	13018	300
chr1	13019	302
chr1	13020	302
chr1	13021	303
chr1	13022	305
chr1	13023	305
chr1	13024	306
chr1	13025	309
chr1	13026	309
chr1	13027	309
chr1	13028	311
chr1	13029	311
chr1	13030	312
chr1	13031	312
chr1	13032	313
chr1	13033	313
chr1	13034	313
chr1	13035	313
chr1	13036	313
chr1	13037	313
chr1	13038	313
chr1	13039	313
chr1	13040	313
chr1	13041	313
chr1	13042	313
chr1	13043	313
chr1	13044	313
chr1	13045	313
chr1	13046	313
chr1	13047	314
chr1	13048	314
chr1	13049	315
chr1	13050	316
chr1	13051	317
chr1	13052	318
chr1	13053	320
chr1	13054	322
chr1	13055	325
